Model,R2_Score,RMSE,MAE,Trees,Note
Linear Regression,0.13578363840225405,556.1744329345468,267.04574740870885,N/A,Baseline
Random Forest,0.9735037996839934,97.3848899438718,24.699336757618976,200,Strong
XGBoost,0.9786607027053833,87.3956730010135,26.760234832763672,500,Best — predictions clipped at 0
